sensor_noise,surface_noise,avg_steps,std_steps
0.0,0.0,72.0,0.0
0.0,0.005,72.0,0.0
0.0,0.01,72.0,0.0
0.0,0.015,72.0,0.0
0.0,0.02,71.0,0.0
0.0,0.025,71.0,0.0
0.0,0.03,71.0,0.0
0.0,0.035,71.0,0.0
0.01745,0.0,72.0,0.0
0.01745,0.005,72.0,0.0
0.01745,0.01,44.0,0.0
0.01745,0.015,44.0,0.0
0.01745,0.02,43.0,0.0
0.01745,0.025,71.0,0.0
0.01745,0.03,71.0,0.0
0.01745,0.035,71.0,0.0
0.0349,0.0,42.0,0.0
0.0349,0.005,72.0,0.0
0.0349,0.01,72.0,0.0
0.0349,0.015,71.0,0.0
0.0349,0.02,71.0,0.0
0.0349,0.025,71.0,0.0
0.0349,0.03,68.0,0.0
0.0349,0.035,68.0,0.0
0.05236,0.0,29.0,0.0
0.05236,0.005,29.0,0.0
0.05236,0.01,29.0,0.0
0.05236,0.015,42.0,0.0
0.05236,0.02,43.0,0.0
0.05236,0.025,30.0,0.0
0.05236,0.03,30.0,0.0
0.05236,0.035,30.0,0.0
